E_P_longicornis,Omega_P_longicornis,tau_stress_P_longicornis,tau_critical_P_longicornis,E_S_geminata,Omega_S_geminata,tau_stress_S_geminata,tau_critical_S_geminata,E_C_diversa,Omega_C_diversa,tau_stress_C_diversa,tau_critical_C_diversa,E_O_smaragdina,Omega_O_smaragdina,tau_stress_O_smaragdina,tau_critical_O_smaragdina,dominant,run_id,site
0.0,0.0,1.0,0.0194585448392555,0.0,0.004271485458985459,1.0,0.02548348106365834,0.0,0.0,1.0,0.09989410518884574,0.0,0.0,1.0,0.024002909443568917,P_longicornis,13,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.014857957922263165,0.01,0.0130641095016095,1.0,0.02453271028037383,0.0,0.0,1.0,0.32432432432432434,0.0,0.0,1.0,0.013342140026420079,S_geminata,14,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.02126381547333013,0.02,0.005133426055607428,1.0,0.015253137170056252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013735951867408332,S_geminata,15,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.0200621278798861,0.0,0.0,1.0,0.016378339645818404,0.0,0.0,1.0,0.13784333672431331,0.0,0.0,1.0,0.02052016225244572,P_longicornis,16,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.01510731402375495,0.0,0.0003055555555555556,1.0,0.016319749828984657,0.0,0.0,1.0,0.40119760479041916,0.0,0.0,1.0,0.02165022853019004,P_longicornis,17,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.013718897108271687,0.01,0.0023194444444444443,1.0,0.015575425439861552,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.017419509851033157,S_geminata,18,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.024526198439241916,0.03,0.007513888888888889,1.0,0.01564989223128104,0.0,0.0,1.0,0.1622222222222222,0.0,0.0,1.0,0.018209408194233688,S_geminata,19,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.022840343735866124,0.0,0.0008750000000000001,1.0,0.01110771425659839,0.0,0.0,1.0,0.08106666666666666,0.0,0.0,1.0,0.019377635928416733,P_longicornis,20,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.012551844575420214,0.01,0.0061435185185185195,1.0,0.012417131432179311,0.0,0.0,1.0,0.1887115165336374,0.0,0.0,1.0,0.024757056918093476,S_geminata,21,"Mac Arthur Hiway, Val."
0.0,0.0,1.0,0.019951499118165784,0.03,0.011707767722473604,1.0,0.02009132420091324,0.0,0.0,1.0,0.1311555338859093,0.0,0.0,1.0,0.012038040207054292,S_geminata,22,"Mac Arthur Hiway, Val."
